comment_id,comment,source_channel,script,intent,primary_driver,value_orientation,affect,is_no_persona,notes
52f9d1be1c07,Sad news😢,Thaha Research,latin,,,,,1,
b0400048e0f0,"Apply गरेको छ महिना भइसक्यो यो बीचमा धेरै पैसा खर्च भइसक्यो। पहिले आफूलाई नचिन्नाले बिदेस मात्र भविष्य हो भनी apply gariyo अब देश छोड्ने कुरा सोच्दा आँखा बाट आँसु बग्छ । सायद यस्तै दोधारे स्थितीमा बाँच्नु लाई नै जीवन भनिँदो रैछ। तर अब विदेश मा पढाइ सकेर देश फर्की देशलाई बनाउने आफै सँग कसम खाएको छू। मेरो देश लाई सुन्दर ,समृद्ध र शान्तिपूर्ण बनाउन अवस्य देश फर्किने छु। 🇳🇵💓",IDS,code_mixed,Anti-Migration,Patriotism/Love,Collectivist-Nation,Despairing/Sad,0,
3eb1f00f72da,"नेपालमा राम्रो कमाई भए पनि के गर्ने???<br>सरकारी हो या प्राइवेट हस्पिटल मा लाखौं खर्च गर्ने क्षमता हुँदा पनि पार्टी को पहुंच नहुने हो भने राम्रो उपचार र सेवा पाइँदैन। भाग्य को खेल ले केही कानुनी सहयोग लिनु पर्ने भयो भने त के भन्नु। पैसा तिरे जस्तो न सेवा छ, न पैसा तिरे जस्तो लोकल होस् या विदेशी समान पाउँछ, साधारण एउटा मान्छे ले पाउने व्यक्तिगत हक पाउन नेता चिन्नु पर्छ भने नेपालमै लाखौं पैसा कमाएर के गर्ने???",IDS,devanagari,Pro-Migration,Economic Necessity,Individualist-Self,Angry/Frustrated,0,
458d2214c1bd,"Nepali people&#39;s young and children are future citizens of forigen country like United kingdom, USA, Japan,India, Australia, exc,",Thaha Research,latin,,,,,1,
ec8e2e381987,Hami it padheko xoina <br>Hami k garne,IDS,roman_nepali,,,,,1,
f5cd97534d1d,Ma pani aafni desh xodna ko laghi tayari gardai xu din rat na vani🙂,IDS,roman_nepali,Pro-Migration,Economic Necessity,Individualist-Self,Despairing/Sad,0,
63b57df2b1d1,Journalism 101 …. Amazing brother … this is the future of journalism …. Time to ditch the mainstream Nepalese propaganda spewing machine …,The Nepali Comment,latin,,,,,1,
eb7109fd0ea9,खुब देशको चिन्ता भए जस्तो क्या।।नेपाली सेना विवादमा चुइँक्क बोल्यौ र?????,IDS,devanagari,,,,,1,
f2c227e9d525,as a class 12 pasout just now I am also in such a dilemma for my future,IDS,latin,,,,,1,
f69f97b1664a,Yo sab nepal sailing hanney yojana ho neta huru ko,Thaha Research,roman_nepali,,,,,1,
29cfb98300f5,This earth belong to whole humanity,The Nepali Comment,latin,,,,,1,
eb81c148dbc7,Aama Nepal 😭,IDS,latin,,,,,1,
492f3dace74b,What a nice content man good job 👍 ❤,IDS,latin,,,,,1,
37db7aa2a121,for me pariwar,IDS,latin,Neutral/Observation,Family Obligation,Collectivist-Family,Pragmatic,0,
78d8ad7d8776,"ma chai Kei Expertise layera farkina parcha vanne Soch ma chu, Taba sama man ko kura man mai !! But really appreciate your efforts and skills Brother and your Team! from Canada.🪡",IDS,latin,Anti-Migration,Patriotism/Love,Individualist-Self,Pragmatic,0,
6bfe3bbf6d43,First need to change Citizenship rights to dual one.,The Nepali Comment,latin,Pro-Migration,Patriotism/Love,Collectivist-Nation,Pragmatic,0,
d0b134e33287,Nepal Sarkar le kai ramro garla vanera aas garera basni manche yo duniyakai sabvanda thulo murkha ho,The Nepali Comment,roman_nepali,,,,,1,
c9623ca3792a,म बाँचे नबाँचे पनि मेरो देश बाची रहोस् 😢🇳🇵,IDS,devanagari,,,,,1,
bba0d62b9389,ukraine ma khasayeko  bomb ley romania ko sisa futo?,IDS,latin,,,,,1,
5c64724ab788,देशै बेच्ने पो हो कि 😅😂😂😂😢😢😢😢😢😢😢😢😢,IDS,devanagari,,,,,1,
fb37c37b994e,3million haina 30million,IDS,latin,,,,,1,
a50936b1edf5,U are and your content😢❤ i am currently doing part time digital marketing but i am not leaving this country ☝️💪,IDS,latin,Anti-Migration,Patriotism/Love,Individualist-Self,Pragmatic,0,
5de02d3ea910,Loksewa ko competition kaam hudaina bro loksewa ko seat nai ghaterw aaux.... Desh sanga arthatantra hunu paryo nii..,IDS,roman_nepali,,,,,1,
22ba571c63f4,Aba timro po doller ma payment aauchha youtube bata ani job abta aako salary le ghar bar chala hamro ta company le 20k dinchha tesle padhu ki pariwar palnu hau,IDS,roman_nepali,Pro-Migration,Economic Necessity,Collectivist-Family,Angry/Frustrated,0,
51642547ff26,I am currently studying in class 11. This content is way more effective for me. Now I can make decisions either live in Nepal or leave it. Thank you sir from this student.,IDS,latin,,,,,1,
2162b2b79d78,"Yo karar maa jaagir khuwane banda garnu parxa. Afnata parne , raajnitik ma hune ko maanxele job pauxa. Ani vacancy kam khulauxa lok sewa aayogle. 65 janako kotako lagi 7k-8k hunxn. Yo ni khaarej garnu parxa",Thaha Research,roman_nepali,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,0,
649390983cb3,Dipesh bro isareal ko vdeo banaunu hai ma tah fan vaye yo desh ko technology ra mossad vanne agency dekhera 🥰🥰🥰,The Nepali Comment,roman_nepali,,,,,1,
33cb4a5d4171,Nice deshmai kai garna parxa vanni sooch xa but economically struggling family,IDS,roman_nepali,Trapped/Regretful,Economic Necessity,Collectivist-Family,Despairing/Sad,0,
6b93cc3ebe0c,Thank you so much for this awesome video ❤❤ keep it up ❤,IDS,latin,,,,,1,
ed1719e8b7d9,"The problem here is people who want to work hard do not get better result and there are people who want to leave the chaos. Either way people are leaving. And the sad news is that most are youths who are needed for any country to run its economy, and other important functions efficiently and smoothly. This is very clear that getting rid of youths is the only way to win every elections for politicians.",IDS,latin,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,0,
1667d5b0bf49,Genuine saving kati samma hunx uta,IDS,roman_nepali,,,,,1,
e3d0a07120a9,why so much risky moves people take in life teti mihinet garera paisa kharcha garera teso garnu vanda easily they can spend time in gulf countries with the same effort they applied taking risky moves,The Nepali Comment,roman_nepali,Neutral/Observation,Economic Necessity,Individualist-Self,Pragmatic,0,
2728f98b7937,"Babaal content  lagyo - little bit touching, emotional, knowledgeable, and fact-filled now I have no regrets about choosing the IT sector here in Nepal. After watching the video, I have decided to continue living here ;)",IDS,latin,Anti-Migration,Patriotism/Love,Individualist-Self,Hopeful/Motivated,0,
500c64303769,Build your own country,The Nepali Comment,latin,Anti-Migration,Patriotism/Love,Collectivist-Nation,Pragmatic,0,
8b29923ac5db,Yo post fb ma share garnu milcha ki mildai na sir alikati choto crop garera,IDS,roman_nepali,,,,,1,
8194e0001040,Manchhe lai manchhe jasto byawahar garnus manchhe lai desh ko kamdar ko rup ma matra herne ho bhane kehi ubho hudaina,The Nepali Comment,roman_nepali,,,,,1,
4f88d1203c7d,great job bro,The Nepali Comment,latin,,,,,1,
65894d4a228b,"As knowing The world is everyone&#39;s home, and it should be easy for everyone to visit any country.",The Nepali Comment,latin,Pro-Migration,Patriotism/Love,Individualist-Self,Pragmatic,0,
3196c41690ad,Hats off to you guys for this amazing content with factual data,IDS,latin,,,,,1,
27889c1c314c,"Great presentation यसमा हाम्रो सरकार निजी व्यवसाय क्षेत्र,स्वयम हामी जनता, विधालय सबै क्षेत्रका सस्था व्यक्ति दोषी छौं।",Thaha Research,code_mixed,,,,,1,
4108330206c8,Thankyou so much sir for informative and motivative video.❤ 🇳🇵,IDS,latin,,,,,1,
8d2dd8732740,यस्तो विडियो हेर्न त्रि.वि र मन्त्रिहरुलाई हेर्न फुर्सद मिलोस्  ‌बहस हुनु पर्ने कुरा बहस् होस् बाँकी कुरा देश छाड्ने वालाको एक युवा म पनि हो।,Thaha Research,devanagari,Pro-Migration,Systemic/Political Anger,Individualist-Self,Despairing/Sad,0,
813fcd6b88d6,It’s fashion,IDS,latin,,,,,1,
7c4c4fa4a5ee,its all beacaue of indian who are not giving first preference to nepalese... they are buying everything from india and don´t use nepalese product...i dont see indians in bhat bhateni...,IDS,latin,,,,,1,
cd7e1e14fa9a,"I came to the Uk in 2020, at that time I wanted to come back Nepal after study in 3 years but time sangai now I don’t have answer “Nepal gyer k garne ?”.. at least Yata Basera m, I am fulfilling needs of my family…Paisa Kamayer Nepal janxu business grxu vanne ho vane pni thaha nai xa Nepal ko halat politics power bina",IDS,roman_nepali,Pro-Migration,Economic Necessity,Collectivist-Family,Pragmatic,0,
fff2097f28cf,Taliwan jastai satta kabja hunxa Nepal ma kehi time ma,IDS,latin,,,,,1,
c0a15ecfc44a,rahar ley haina badhyata ley ho hajur 🥲,IDS,roman_nepali,Pro-Migration,Economic Necessity,Individualist-Self,Despairing/Sad,0,
7096fdb4437b,"Nepal ma sarkarle ramro kam garna sakira xna haina ki, kamai garna sakeko xna",The Nepali Comment,roman_nepali,Pro-Migration,Economic Necessity,Individualist-Self,Despairing/Sad,0,
700c19da6333,Its real worthless yaso paxadi herda.. many years working hard and making money collecting money paid 10 minimum to 20 25 lakh ani yai W.p immigration paunu lae kam wages ma ani jindagi ko riak liyera garchan manxe le yo bhanda boru kam lagat ma 1 to 2 lakh samm ma investment garera qatar dubai Malaysia jada uuchit huncha. Think nicely  jay Nepal 🇳🇵,The Nepali Comment,roman_nepali,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic,0,
804eeaf3793e,Nepal basau bhaner desh bhakti dekhaunu vaneko feri 16 hajar barabar jati marer feri ganatrant lyunu pani jasti ho,IDS,roman_nepali,Pro-Migration,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,0,
c70d6fcf2897,my husband is crying in middle of night after watching your 30min video after his 16hrs long shift here in Australia .,IDS,latin,,,,,1,
0f57b77f2ba1,Just blow out my mind.<br>I am 19 yr old thinking same as  you or every Nepalese rn.<br>Loved ur content creation❤just magic to the mind .<br>Ur single video change my pov abt going aboard for a time,IDS,latin,Neutral/Observation,Patriotism/Love,Individualist-Self,Hopeful/Motivated,0,
fcda5ec043f2,Hey Vagwan Sakesamma yo deshma basna napaiyoossssssaa🕉️🇺🇸🙂♥️🎓<br>USA nai Jane Ho permanently ✊🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,Thaha Research,roman_nepali,Pro-Migration,Economic Necessity,Individualist-Self,Hopeful/Motivated,0,
0d904423d16a,"Yestari US, Australia aunu vanda baru afnai desh ma kehi gara sathi ho. Dherai yestari ayeko veteko chu ra uni haru ko health khatam cha, kati bato mai mare. Baru school padhera exam diyera mehanat garera aunus vanchu.",The Nepali Comment,roman_nepali,Neutral/Observation,Patriotism/Love,Collectivist-Nation,Pragmatic,0,
459e77e99ba1,Dai ko afno podcast ko reach(views)  increase garna technique,IDS,roman_nepali,,,,,1,
711c5b562fa6,"Your content is fire, keep inspiring the young minds!",IDS,latin,,,,,1,
5a5c7db097c3,Dont support illegal migration.,The Nepali Comment,latin,,,,,1,
fc5b857fc069,Lasta mah tei maya pani poila hindinxa paisa na bhaye kura kura nai ho risk lina lai capital xa bhane nepal basney gujara garera matra life chaldaina ni hajur just job garera hudaina,IDS,roman_nepali,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic,0,
6ceb9a1e92a6,"British should ruled Nepal, For development.",IDS,latin,,,,,1,
f4eac40bfd53,Hamro desh ko sabai kuna ma small business industris ra agriculture hudaina hami ley job ne paudaina ani afno desh ma basna ne paudainau😢,The Nepali Comment,roman_nepali,Trapped/Regretful,Economic Necessity,Collectivist-Nation,Despairing/Sad,0,
6739a5842dae,Kam xaina 100 jana ma janma 1-2 jana lay garera k hunxa ra desh ma aru 98 jana chai bidesh jana bahek option nai xaina,IDS,roman_nepali,Pro-Migration,Economic Necessity,Collectivist-Nation,Angry/Frustrated,0,
e82591436390,Corruption <br>Education khatam<br>Health system khatam <br>Sarkari kam ta jhan khulit <br>No job employment <br> <br>Ani yo deshma k garna basney basney vaneko chor  neta haru matrai yo deshma,Thaha Research,roman_nepali,Pro-Migration,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,0,
f24157beda7e,"What a nonsense never forget that foreign country will always treat you as a second citizen also if we as a nationalist can protest to stop getting indians our citizenship and jobs then they can do the same its completely justified this shitty consultancies (educational and tours)<br>Should be completely closed and embrace the nationalism,if so then why dont these two people go abroad",IDS,latin,Anti-Migration,Patriotism/Love,Collectivist-Nation,Angry/Frustrated,0,
ee7e01b60b97,GEM of Nepali YouTube ❤️,The Nepali Comment,latin,,,,,1,
7d07183fa081,Mai ni varkhar 1 mahina aaghi aako xu rojgaar ko lagi. K garnu 10 barsha dekhi kosis gariyo Nepal ma tara ghus diyera sarkari kaam ma laagne lagi haley ra aafule last ma private job gariyo tara Nepal ko mahangai ma kamako bhanda badhi kharcha le garda hidna badhya vaye. Yad kati aauxa aafno thau ko ra pariwar ko tara k garnu testai awastha aai paryo.,The Nepali Comment,roman_nepali,Pro-Migration,Economic Necessity,Individualist-Self,Angry/Frustrated,0,
00fd003a2544,Hjr ko yo video ra bichar dharale man xoyo sir  <br>Sabai janaale  yo video share gardiu <br>Guys,IDS,roman_nepali,,,,,1,
318cc29354db,One of the best YouTubers of Nepal. appreciate your hard work bro 👍☺️☺️,The Nepali Comment,latin,,,,,1,
9c2aa213f38f,My first ever subscribed video after being in youtube for more than a decade. This Man&#39;s research covers every facets of information. Please keep posting informative videos. Kudos......,The Nepali Comment,latin,,,,,1,
75dc25801776,541 BHAKO RAIXA 1541 KO THAU MA 2021 KO DATA  MA,IDS,latin,,,,,1,
ae6453bd64a4,Thanks for the much needed motivation bhai! Nepal nai basincha :D,IDS,roman_nepali,Anti-Migration,Patriotism/Love,Individualist-Self,Hopeful/Motivated,0,
b28873c863d8,"Yes, this is an serious issue. Our youth they are dreaming to go abroad and settle their government should do something to deal with this issue ASAP!!",IDS,latin,Anti-Migration,Systemic/Political Anger,Collectivist-Nation,Pragmatic,0,
ab1c603d4978,"The best video uploaded in this channel. Dui tin ota line le man yesko choyo, aakha nai rasayo. Thank you for ur contribution. Much love n respect to u ❤️❤️❤️",IDS,roman_nepali,,,,,1,
b58f63410eaf,"Three out of four of my children and their children are living in UK. One is in the US. They are all citizens of the respective countries. Me, a Britishko lahure, sold my house and land and am now living in UK with my children. I would like to go back to Nepal. Everybody knows what and who caused the exodus? After watching this video, I have tears in my eyes.",IDS,latin,Trapped/Regretful,Patriotism/Love,Individualist-Self,Despairing/Sad,0,
5b77ef21716d,99% of you do not qualify.. in fact once they have you- they will get your info- pic- finger prints and Deport you immediately...WITHOUT EXCEPTION. You won&#39;t be able to read apply for another 10 years- if you are caught here illegally- it could include JAIL TIME.,The Nepali Comment,latin,,,,,1,
7d773a8882ad,People are leaving Nepal because they are going to abroad,Thaha Research,latin,,,,,1,
79a4c9461a1b,now thats a content. keep up the good work,The Nepali Comment,latin,,,,,1,
0f6f8d366506,"It is very sad that nepali youngsters are leaving Nepal and Indian are taking nepali citizenship. If it keeps on going on very soon there will be no Nepal in world map😢😢😢😢 you can’t find any happiness in this world. Just find peace inside you. Everything is inside us, don’t just follow money, cars house. Try to find happiness. I realise this recently n finding peace inside me. If 10%of educated ppl r like balen sir, soon nepal will become Switzerland. So stay positive n think positive. Jai balen sir",IDS,latin,Anti-Migration,Patriotism/Love,Collectivist-Nation,Despairing/Sad,0,
3e97191b49ff,"Diaspora kai kura garda indian haru ko diaspora india sanga ekdumai connected chha,,, but Nepali haru ko case ma NRN ko second generation Nepali le nai Nepal lai ruchaudainan. Why? Ghumifiri kura tehi aaunchha, Diaspora le pani tetibela matrai afno purkhauli desh lai apnauchha jaba purkhauli desh ko ni kehi ijjat/naam chaleko hunchha.",The Nepali Comment,roman_nepali,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Despairing/Sad,0,
b0e05336ec03,40 dekhi 55 lakh samma dalaal lai diyera america jane 20 25 jana ta maile nai veteko xu.. uniharu madhye 3 jana le jyan gumaye laas ni firta payenan family le.. tetro 40 50 lakh le ta afnai desh ma kei garnu ni khai buddhi...,The Nepali Comment,roman_nepali,Anti-Migration,Patriotism/Love,Collectivist-Nation,Pragmatic,0,
bb5b88d04ad2,Yo nepal matra hoina sopoi garab desh ko katha ho even European country jastai Romania Poland Bulgaria Bangladesh Sri Lanka Pakistani 😅,IDS,roman_nepali,,,,,1,
058a4f7413a5,Yo sab bahunbaad ko karen ho hajur desh kangaal vayeko xa,Thaha Research,roman_nepali,,,,,1,
72f7890be4b0,Please speak full English or full nepali😢😊 like ur videos🎉,IDS,latin,,,,,1,
e697efd3db29,😢😢😢no words.,IDS,latin,,,,,1,
9f9d7d6c55c2,I hate my birth in nepal    nepal is hell in the world,IDS,latin,,,,,1,
42ec7bc4f65d,Bahun ko kam chaina jaba samma bahun hru hunchan taba samma desh bikas huna sakdaina,Thaha Research,roman_nepali,,,,,1,
550895cd294a,"Tara yeuta kura birsana bhayo hajurle bhanna. Yeso sochnu hos ta.. Parents haru pani jimberwar chan chora chori bidesh jaanu maa. Kina ki dherai jaso parents le Dr. Enginneer, Pilot, Nurse matra baneko herna chahancha afno chora chori. Yesai karan le garda chora chori ko aru talent haru use garera yaha kei garchu bhanne lai baato nai chaina. Ra tee chora chori haru Bidesh jana pareko cha paisa kamauna..",IDS,roman_nepali,Neutral/Observation,Family Obligation,Collectivist-Family,Pragmatic,0,
8872b3d25033,Because youth want to chin tapak dam dam with kuireni,Thaha Research,latin,,,,,1,
6686fb59675a,"1K, 2k rupee liye ra vote dine aafhono aama bahini baccha haru ko future ani safety  ,freedom sab becha dine ani bhanu ki nepal ko leader nai ghatiya xa ani tiyo ghatiya mancha lai jityo kasle ta hami nepali le ani sab thulo ghatiya ko tab hami nepali aafhaia choose garne aafhaia gali garne Nepali honi 😂😂😂",The Nepali Comment,roman_nepali,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,0,
d5fd17e162b0,Bro m chai raharle grda bidhes aayee harek nepali short timeko laghi bidesh aawnu nai parchh ..aamako Maya sanggai basda bujnu gharo hunchh bt pardhesh laghee pochi aamako Maya dhesh ko maya dhobbar badheraw janchh so,IDS,roman_nepali,Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic,0,
c917632f4795,"As a content creator and holding a business with good salary at my own, Yes, Money management kahile pani school ra clz ma detail study vayena…<br>After my 10+2 i never thought of travelling abroad.. bur Rn only one thing determines…. Future(Yaha jati kamauxu tesla nata malai pugi rako cha , Pariwar ta tada) 50-30-20 rules kasaile sikayenan just afno freedom passion ra needs lai focus garxam…<br>Now personally i think… i need to migrate just ( Leave )<br>Middle class family j garam yaha 1 core nei kamam ya udam<br>Just auta word hits ( Pariwar budo hudai chan and they regret yaha basera paisa chinena nata sangat baira jau yo yaha udyobtyo tyaha cha tah screen ma matra sabaiko lagi ramro hamro agadi we know how you are)<br>That thing really hurts, i never had have thought about moving abroad<br>Feri arko kura ( pariwar le vaneko sahi ho aru josukei le j sukei vanun)<br>Jaba apply garxam ( reject )<br>And that’s hell part of story<br>However gardai xam garxam again and again but thanai xaina k gardai xam<br>Baira garda ni hudaina ya garda ni hudaina <br>Life is mess jasto jagcha at the age of 23<br>I wish i could have got right guidance <br>Ahile afno decision ra pariwar ko umer, ichya ra vawisyasochna parne cha<br>Hope everything goes right <br>Never stop studying<br>Never pause your passion <br>Go with flow<br>I’ll wait for my day<br>And you should <br>Time na aaie kei hunna yei garxu vaney ni baira garxu vaney ni<br>Patience is the key <br>Just enjoy, cheers to the life we got to live😃❤️<br>Go green☘️",IDS,roman_nepali,Trapped/Regretful,Economic Necessity,Collectivist-Family,Despairing/Sad,0,
9f31a341eeb9,Go go that’s it that’s all,IDS,latin,Pro-Migration,Systemic/Political Anger,Individualist-Self,Angry/Frustrated,0,
a59ee3b1d795,I am crying with this .. sold my nationality for happiness. After a decade..i think I left that happiness behind in my own country ❤,IDS,latin,Trapped/Regretful,Patriotism/Love,Individualist-Self,Despairing/Sad,0,
2fd5a4650cca,"This isn’t issue for Nepal only rather is issue for all developing nation. Other side of globalization but when globalization stops, we may get chance",The Nepali Comment,latin,,,,,1,
eb2e20588366,Vai suni sakeko kura feri pani repost nagarana hau mujieee  chai vannu.. wait for reply of it 🤣,IDS,roman_nepali,,,,,1,
567e1938977b,सबै बिदेश गयर ५/१० लाख जनता मात्रै बसे भने पनि  आफू त देशमै बसिन्छ।,IDS,devanagari,Anti-Migration,Patriotism/Love,Individualist-Self,Hopeful/Motivated,0,
23afd21043d8,This is what quality speak ❤️❤️,The Nepali Comment,latin,,,,,1,
1580c9c8e76d,म पनि नेपाल मा नै छु।तर  सबै साथी हरु विदेश जाँदा अनि तनाव हुँदा  बेला बेला म पनि गैदिम जस्तो लाग्छ। IDS काे यो भिडियो हेरे पछि म पनि आशावादी भएको छु।<br>यो भिडियो काे लागि धेरै धेरै धन्यवाद।❤,IDS,code_mixed,Anti-Migration,Patriotism/Love,Individualist-Self,Hopeful/Motivated,0,
9e4332a9b4dc,maa  affele  engnr padhe ra depressed xu tesaile aafono annubhava vaneko,IDS,latin,Trapped/Regretful,Systemic/Political Anger,Individualist-Self,Despairing/Sad,0,
c620614f1a8d,Optimistic thoughts.,The Nepali Comment,latin,,,,,1,
032838647f9d,15 वर्ष भयो अब खाडीले पुगेन अब युरोप तिर लागिन्छ होला।,IDS,devanagari,Pro-Migration,Economic Necessity,Individualist-Self,Despairing/Sad,0,
447896fe2546,Professional research channel in nepal i had never seen,IDS,latin,,,,,1,
98ddef7c6ef4,hajur le yo video tw banaunu bhayo sabbai hernu pani heryo <br>                          tara power ma bhako manxe haru le yo sabai ignore garxan bhanne ki desh lai sabhya garna man nabhako ho<br>Awaj uthyo dabaune ma matra soch xan.................. k garnu <br>                                                 Aba kehi barsha paxi jagarukh uwa haru ko udaiya hune xa government choose garna sakne hunne xa ............<br>aba aaunne chhunau ma hernu parxa hamro bhawisya k hunne xa....<br>                        hernu parxa nepal ko naya uwa le kaslai choose garne xa aafno leader ko roop ma.....,IDS,roman_nepali,Neutral/Observation,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,0,
e5abd1943f72,भारत को खर्बपति त भारत छोड्दैछ।,The Nepali Comment,devanagari,,,,,1,
1132edfe310d,abba mero nee palo ayo bidesh janea . yo desh maa future nai xaina,Thaha Research,roman_nepali,Pro-Migration,Systemic/Political Anger,Individualist-Self,Hopeful/Motivated,0,
c91f60ecc067,"Tara yei dollar ko tax badhako badhai chha, last year 1% thyo, aile 5%, next year probably 10% garne hola. Aile feri freelancer lai darta garnu parne bhanera dukha dina khojirako chha. Aile AI ko jamana ma software ko ni future long term chai dekhdina ma. Baru desh bhitra paisa lyaune sabai jobs haru lai taxfree gardinu parne ho. Tyo garyo bhane bidesi haru pani nepal aayera kaam garera desh ma paisa lyaune chance hunchha. Freelancer tax badheko ra tiktok jasto paisa kamaune app haru ban bhako le tax free or less tax country(like dubai or spain) tira gairako chhan. IT sector lai matra mukh takera basna chai sakinna, sarkar afai yo kura research garera sajilo freelancer haru lai gardinu parchha.",IDS,roman_nepali,Pro-Migration,Economic Necessity,Individualist-Self,Angry/Frustrated,0,
9fa6c7c24436,Curretly I am studing BBS 3rd year and out of 40 students in 1st year now there are only 10 students are left in the class .<br>Private college ma ramro hola bhani padha ko depressed po feel hunxa.<br>And baki students pani abroad jana try gari raxa even in arab countries .🥲,IDS,roman_nepali,Neutral/Observation,Economic Necessity,Individualist-Self,Despairing/Sad,0,
525c5cd93ac6,Such a informative video thank you so much sir.. ❣️❣️,The Nepali Comment,latin,,,,,1,
410b96c3abc0,This is too good ☺️☺️ <br>Well explained <br>Very informative <br>Very helpful ❤,IDS,latin,,,,,1,
d66b05a88632,"Mailey ni paila janxu bhaneko. Paxi dherei ghatana haru dekhey, afno pariwar sanga time bitauna sakina bhaney jindagi jiuna ko maja k xa rw jhai lagyo. Ayiley padhdei xu yetei. Mero lakshya bhaneko kehi ramro garera yetei pariwar sanga time spend garney majaley. But yesto dar ni xa, paxi kehi na bhayera bahira po jana parlaa ki.. rin lera padhdei gareko, paxi tirna na sakera bahirei jana parxa ki?... Nepal maa ramro garxu bhanney ko kaam xaina, sayad mero ni hunxa jasto ni lagdeina✨🖤",IDS,roman_nepali,Neutral/Observation,Family Obligation,Collectivist-Family,Pragmatic,0,
689bbaa97a3f,"If your mother is sick you care for her, you don&#39;t leave her to die and settledown in your neighbour&#39;s house. This is exactly what Nepalese youths are doing",Thaha Research,latin,Anti-Migration,Patriotism/Love,Individualist-Self,Pragmatic,0,
bb7d06273b1d,Ma nepal aauxu voli japan bat<br>Runa man lagyo yo vdo herer,Thaha Research,roman_nepali,Anti-Migration,Patriotism/Love,Individualist-Self,Hopeful/Motivated,0,
f75791a41558,30 million hunxa solti 3 crore vaneko,IDS,latin,,,,,1,
0fca8ce95998,It’s most important news you displayed,The Nepali Comment,latin,,,,,1,
338471b111bc,"Optimistic video, but the reality of our country is same as Haiti. **Until and unless we get rid of corruption nothing will change**. It is not about the changing &quot;system&quot;. Don&#39;t get mistaken, it doesn&#39;t matter which person or group or clan is ruling the country, it is about if those persons, groups or clans are serving the Nepalese people or not.",The Nepali Comment,latin,Trapped/Regretful,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,0,
a755952125f7,"I have a similar incident of my own cousin. He went to study in Manchester, but couldn&#39;t focus on his study, his results were very poor so university didn&#39;t gave him letter or something like that. So, he escapes from UK went to Paris from there he took flight to Portugal and tear his passport. It&#39;s like 2 .5 years ago. Now he is living living life as hell. He cannot return to Nepal and working on minimum wages, still he doesn&#39;t get paid sometimes considering him as refugee or Indian origin by locals of Portugal. Nowadays it&#39;s a trend like students escaping from UK to European countries.",The Nepali Comment,latin,,,,,1,
3e7f896a73bf,Dirty politicians r unstable politics le Garda ho <br>Tauke budha haru le k garya xa r,Thaha Research,roman_nepali,Trapped/Regretful,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,0,
cca8f90fbbed,Thanku for your hard work and kind of information <br><br>aru kai help garna naskeyni hajur ko channel ma ayako Ad full time watch gardinxu ❤️<br>thanks again,IDS,latin,,,,,1,
c83a3d8cf1e7,"halo jotna ta aba jamin pani pahila jasto ka xara sabai concrete le khaisakyo ra pahilako manxe jasto mato ko maya, dukha garna sakne himmat ka xara ajkal@burneyes744",IDS,roman_nepali,,,,,1,
d7732648ad60,Dherai gar na sakin cha Nepal mai. Let's unite for better Nepal,IDS,roman_nepali,Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated,0,
b92cce14db27,"Dherai Dherai dhanyavada hjr,Dherai ramro news deynu vako mah malai chai ramro lagyo sir 🙏 fare fare pani yestai satya ghatana ko news didai garnu hola we are supposed of you, thank you so much 💓 sir",The Nepali Comment,roman_nepali,,,,,1,
0b082f11343c,Was thinking of this some days ago and u did it like u read minds kudos,The Nepali Comment,latin,,,,,1,
1686db19fae3,Jewish diaspora haina zionism vanu,The Nepali Comment,latin,,,,,1,
4caa62c5752d,लुटतन्त्रको उपलब्धि।,Thaha Research,devanagari,,,,,1,
d57be69f2dd7,One Day I Will Leave This Country Ever and Ever Permanently settling in Another country Gaiko Masu Khane kasam♥️🇺🇸,IDS,latin,Pro-Migration,Systemic/Political Anger,Individualist-Self,Angry/Frustrated,0,
75cf28a9e8f8,What a reserch dajuu. Hands upp,IDS,latin,,,,,1,
b481c9758a20,आफ्नो गाउँ  घुमेपछि मनमा उब्जिएको प्रश्न ...??<br>अब कति समयमा देशलाइ <br>&#39;युवामुक्त देश&#39;<br>घोषणा गर्न सकिएला????🥺,Thaha Research,devanagari,,,,,1,
67527ff9ac7f,Maya moha ma aljinna vai...afu bache ta arulai bachaune ho....kehi changer hunewala xaina,IDS,roman_nepali,Pro-Migration,Systemic/Political Anger,Individualist-Self,Despairing/Sad,0,
