gen_id,comment,intent,primary_driver,value_orientation,affect,is_no_persona,notes
g0092,"Remittance le economy chalcha bhanera proud hunu parne kura hoina, tyo ta hamro failure ho. Afnai desh ma industry kholdai, jobs create gardai youth lai roknu paryo — tyo ho real development. 💪",Anti-Migration,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,0,
g0038,"Remittance ले नेपालको economy धानेको छ, त्यसैले youth migration लाई केवल negative भनेर हेर्न मिल्दैन। तर long-term मा देशले युवालाई यहीँ राम्रो opportunity दिन सक्ने environment पनि बनाउनुपर्छ।",Neutral/Observation,Economic Necessity,Collectivist-Nation,Hopeful/Motivated,0,
g0030,"Yaha ta aba kewal buro manche ra rita ghar haru matra baaki rahanchhan... Desh ma josh ra energy bhako youth sabai bideshuda, pachi bhabishya ma desh kasle chalaunchha ra? Remittance le aaja pet bhariye pani bholi hamro desh nai ritto hunchha bhanne sochda man rumaal hunchha. 😔💔",Anti-Migration,Economic Necessity,Collectivist-Nation,Despairing/Sad,0,
g0097,"जाने मन त छैन, तर बाबुआमाको औषधि को पैसा कहाँबाट आउँछ? बस्ने मन छ तर बस्न सक्ने condition नै छैन यो देशमा। मजबुरी हो, choice होइन।",Trapped/Regretful,Economic Necessity,Collectivist-Family,Despairing/Sad,0,
g0002,"Remittance le desh chali raheko chha vanne kura sabailai thaha nai chha, so it's a win-win situation for both the country and individual workers. Hami jasto young professionals ko lagi tyo aafno career ra financial stability secure garne sabai bhanda reliable path ho. Desh ma scope na-bhaera aafno talent waste garnu bhanda bahira gayera earn ra learn garnu nai smart choice ho.",Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic,0,
g0053,"आमाबुबा छोड्नु selfish होइन, आफ्नो र परिवारको आर्थिक future राम्रो बनाउन जानु हो।",Pro-Migration,Family Obligation,Collectivist-Family,Hopeful/Motivated,0,
g0022,"सजिलो त कसैलाई छैन, यहाँको राजनीति र व्यवस्था देखेर युवाहरू दिक्क भएका हुन्, त्यो म पनि बुझ्छु। तर निराश भएर देशै छोडेर हिँड्नु समाधान होइन, हामी युवाहरूले नै यहीँ बसेर व्यवस्था बदल्न र देश बनाउन लड्नुपर्छ। 🇳🇵✊",Anti-Migration,Systemic/Political Anger,Collectivist-Nation,Hopeful/Motivated,0,
g0003,"Congratulation bro! Aafno ra family ko future bright banaune ramro chance ho, go for it. Suruma gaarho hola tara stay focused on your financial goals and save as much as you can, all the best for your career journey!",Pro-Migration,Economic Necessity,Collectivist-Family,Hopeful/Motivated,0,
g0024,"सबै युवा बाहिरिए हाम्रा गाउँघर रित्तिन्छन् र देशको विकास ठप्प हुन्छ। तर मलाई अझै विश्वास छ, यो निराशा धेरै दिन रहँदैन, चेतना आएपछि हाम्रा युवाहरू यहीँ फर्किएर नयाँ र समृद्ध नेपाल बनाउन जुट्नेछन्! 🇳🇵✨",Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated,0,
g0088,"Simple cha — yaha job chhaina, chha vaney ni 12-15k salary, ani afno ghar banauna 30 barsha lagcha. Gulf ma 2-3 barsha kamayo vane ghar bancha, gaadi kincha. Kina najaney? Logic use gara bro 😅",Pro-Migration,Economic Necessity,Individualist-Self,Pragmatic,0,
g0099,"Congratulations bhanna mann lagdaina bro, tara ke bhanne… जा, कमा, पठा — हामी सबैले यही गरिरहेका छौं। Bas aafno health ko khayal rakha ani aama buba ko phone miss nagara. Gulf easy chaina, tyo ta timilai pani thaha cha।",Anti-Migration,Economic Necessity,Individualist-Self,Despairing/Sad,0,
g0075,"Congrats bro! 🎉 Gulf ma gaye pachi paisa bachauney ma focus gar, unnecessary kharcha nagara. 2-3 barsha grind garera aau ani yeta invest gar ya further abroad ja — long term sochnu parcha. Best of luck!",Pro-Migration,Economic Necessity,Individualist-Self,Hopeful/Motivated,0,
g0087,"Congratulations dai!! 🎉🔥 Mehnat gara, paisa bachau, naramro sathi bata tadha basa. 2-3 barsha ma ramro paisa lyauchau. Yaha basera ke garney thiyo — all the best! 💪",Pro-Migration,Economic Necessity,Individualist-Self,Hopeful/Motivated,0,
g0083,"""Selfish"" bhanera guilt trip dine culture nai toxic ho honestly. Parents lai support garna lai physically present hunu pardaina, paisa pathau, call gara, take care gara — distance le selfish banaudaina.",Pro-Migration,Economic Necessity,Individualist-Self,Angry/Frustrated,0,
g0021,"बधाई छ साथी, तर त्यहाँ गएर पसिना मात्र बगाउने होइन, राम्रो सीप र ज्ञान सिकेर चाडै आफ्नै देश फर्केर केही सुरु गर है। तिम्रो मेहनेतले परिवार मात्र होइन, एक दिन हाम्रै नेपालको सिर उच्च बनाउनु पर्छ, Jay Nepal! 🇳🇵❤️",Anti-Migration,Patriotism/Love,Collectivist-Nation,Hopeful/Motivated,0,
g0061,"घरको अवस्था हेर्दा विदेश जानैपर्ने जस्तो लाग्छ, मनले चाहिँ नेपालमै बस्न भन्छ। आफ्नो सपना भन्दा बाबुआमाको सुख ठूलो भयो, त्यसैले बाध्य भएर जानुपर्छ जस्तो छ।",Trapped/Regretful,Family Obligation,Collectivist-Family,Despairing/Sad,0,
g0072,"यसरी नै चलिरह्यो भने नेपालमा युवा होइन, बूढा र नेताहरू मात्रै बाँकी रहने दिन आउँछ। अनि नेताहरूले फेरि remittance बढ्यो भनेर भाषण गर्नेछन्—देश भने खोक्रो हुँदै जानेछ।",Anti-Migration,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,0,
g0015,"Ekdam sahi decision ho sathi, congratulations! Yo desh ko economy nai remittance le chaleko chha, yaha basera kehi paap dharne wala chaina. Gulf gaera ramro kamau, gharko condition sudhara ani aafno future safe gara. Good luck!",Pro-Migration,Economic Necessity,Individualist-Self,Hopeful/Motivated,0,
g0093,"Bhai euta kura socha — Gulf ma kamauney paisa le timro life ta chalcha, tara timro talent le Nepal lai kei farak pardaina. Yahi basera kei gara na, desh lai timi jasto youth ko need cha. 🙏",Anti-Migration,Patriotism/Love,Collectivist-Nation,Despairing/Sad,0,
g0052,"नेपालमा राम्रो salary र career opportunity कम छ, त्यसैले युवाले Gulf वा West रोज्नु स्वाभाविक हो।",Pro-Migration,Systemic/Political Anger,Individualist-Self,Pragmatic,0,
g0103,"जाने कुरा गर्नु भन्दा पहिला यो देश बिगार्ने नेताहरुलाई सोध्नुपर्छ — तिमीहरुले के गर्यो यो देशको लागि?? हामी जान्छौं भने यो देश कसले चलाउँछ, तिम्रा छोरा छोरीले Dubai बाट?? 😤 Stay and fight, tara system nai bigreko cha bhanera bhagne hoina.",Anti-Migration,Systemic/Political Anger,Collectivist-Nation,Angry/Frustrated,0,
